keahlian,keahlian_normalisasi,minat,pendidikan,jurusan,sertifikasi,ipk,label_karir,kategori_keahlian,pemetaan_tugas,keahlian_dibutuhkan,keahlian_kurang,kursus_rekomendasi,jalur_belajar,label_karir_sederhana,profil_gabungan,flag_ketidaksesuaian,data_augmentasi,encode_label_karir,encode_label_karir_sederhana,encode_pendidikan,encode_kategori_keahlian
"sql, analisis data, python","sql, analisis data, python","teknologi, ilmu data",SMA/Sederajat,keuangan,Google Data Analytics,3.24,Operator Entri Data,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,sql analisis data python teknologi data sains keuangan,valid,Tidak,23,0,2,4
ms office,ms office,pengembangan karir umum,SMA/Sederajat,teknik,CFA Level 1,2.76,Operator Entri Data,teknik,tugas umum,teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,ms office umum karir pengembangan teknik,valid,Tidak,23,0,2,13
"sql, pemasaran","sql, pemasaran",marketing,SMA/Sederajat,teknik,Sertifikasi Pemasaran Digital,2.48,Operator Entri Data,teknik,"konten, tugas sosial, penjualan & pengaruh, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,sql pemasaran teknik,valid,Tidak,23,0,2,13
python,python,"teknologi, ilmu data",Magister,ilmu komputer,Tidak Ada Sertifikasi,3.6,Operator Entri Data,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python teknologi data sains komputer sains,valid,Tidak,23,0,1,2
komunikasi,komunikasi,pengembangan karir umum,Sarjana,psikologi,Google Data Analytics,3.6,Operator Entri Data,psikologi,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi umum karir pengembangan psikologi,valid,Tidak,23,0,3,9
"analisis data, ms office, pemasaran","analisis data, ms office, pemasaran","teknologi, ilmu data",Doktor,teknik,Dasar Kesehatan Mental,2.52,Operator Entri Data,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,analisis data ms office pemasaran teknologi data sains teknik,valid,Tidak,23,0,0,13
python,python,"teknologi, ilmu data",Sarjana,ilmu komputer,Tally ERP,3.76,Operator Entri Data,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python teknologi data sains komputer sains,valid,Tidak,23,0,3,2
"sql, pembelajaran mesin, analisis keuangan","sql, pembelajaran mesin, analisis keuangan","teknologi, ilmu data",Sarjana,seni,Dasar Kesehatan Mental,2.44,Staf Administrasi,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,sql pembelajaran mesin analisis keuangan teknologi data sains seni,valid,Tidak,32,0,3,12
python,python,"teknologi, ilmu data",Magister,perdagangan,Google Data Analytics,3.16,Operator Entri Data,perdagangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python teknologi data sains perdagangan,valid,Tidak,23,0,1,8
"python, akuntansi","python, akuntansi","teknologi, ilmu data",SMA/Sederajat,bisnis,CFA Level 1,3.72,Operator Entri Data,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python akuntansi teknologi data sains bisnis,valid,Tidak,23,0,2,1
"akuntansi, komunikasi","akuntansi, komunikasi","bisnis, keuangan",Sarjana,ilmu komputer,Sertifikasi Pemasaran Digital,2.92,Operator Entri Data,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi komunikasi bisnis keuangan komputer sains,valid,Tidak,23,0,3,2
komunikasi,komunikasi,pengembangan karir umum,Magister,seni,Tidak Ada Sertifikasi,3.36,Operator Entri Data,seni,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi umum karir pengembangan seni,valid,Tidak,23,0,1,12
"akuntansi, python, konseling","akuntansi, python, konseling","teknologi, ilmu data",SMA/Sederajat,perdagangan,Tidak Ada Sertifikasi,2.8,Operator Entri Data,perdagangan,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi python konseling teknologi data sains perdagangan,valid,Tidak,23,0,2,8
pembelajaran mesin,pembelajaran mesin,"teknologi, ilmu data",SMA/Sederajat,sains,AWS Certified,2.92,Operator Entri Data,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,pembelajaran mesin teknologi data sains sains,valid,Tidak,23,0,2,11
"ms office, analisis keuangan, komunikasi","ms office, analisis keuangan, komunikasi","bisnis, keuangan",Sarjana,sains,Sertifikasi Pemasaran Digital,2.6,Staf Administrasi,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office analisis keuangan komunikasi bisnis keuangan sains,valid,Tidak,32,0,3,11
analisis data,analisis data,"teknologi, ilmu data",Magister,sains,CFA Level 1,2.76,Operator Entri Data,sains,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,analisis data teknologi data sains sains,valid,Tidak,23,0,1,11
konseling,konseling,pengembangan karir umum,SMA/Sederajat,bisnis,AWS Certified,3.04,Operator Entri Data,bisnis,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling umum karir pengembangan bisnis,valid,Tidak,23,0,2,1
ms office,ms office,pengembangan karir umum,Doktor,psikologi,Penulisan Kreatif,2.56,Staf Administrasi,psikologi,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office umum karir pengembangan psikologi,valid,Tidak,32,0,0,9
"komunikasi, sql","komunikasi, sql",pengembangan karir umum,SMA/Sederajat,seni,Google Data Analytics,3.36,Operator Entri Data,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,komunikasi sql umum karir pengembangan seni,valid,Tidak,23,0,2,12
"konseling, analisis data","konseling, analisis data","teknologi, ilmu data",SMA/Sederajat,keuangan,AWS Certified,2.4,Staf Administrasi,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,konseling analisis data teknologi data sains keuangan,valid,Tidak,32,0,2,4
analisis data,analisis data,"teknologi, ilmu data",SMA/Sederajat,keuangan,Tidak Ada Sertifikasi,3.32,Staf Administrasi,keuangan,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik","akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,analisis data teknologi data sains keuangan,valid,Tidak,32,0,2,4
"ms office, komunikasi, sql","ms office, komunikasi, sql",pengembangan karir umum,SMA/Sederajat,seni,CFA Level 1,3.4,Operator Entri Data,seni,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,ms office komunikasi sql umum karir pengembangan seni,valid,Tidak,23,0,2,12
"python, sql, akuntansi","python, sql, akuntansi","teknologi, ilmu data",SMA/Sederajat,teknik,Tally ERP,3.16,Operator Entri Data,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,python sql akuntansi teknologi data sains teknik,valid,Tidak,23,0,2,13
"konseling, analisis keuangan","konseling, analisis keuangan","bisnis, keuangan",Sarjana,ilmu komputer,Sertifikasi Pemasaran Digital,2.92,Staf Administrasi,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling analisis keuangan bisnis keuangan komputer sains,valid,Tidak,32,0,3,2
"analisis keuangan, analisis data","analisis keuangan, analisis data","teknologi, ilmu data",Magister,teknik,CFA Level 1,3.64,Operator Entri Data,teknik,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik",teknik biologi perangkat medis pemecahan masalah inovasi,teknik biologi perangkat medis pemecahan masalah inovasi,dasar teknik biologi perangkat medis pemecahan masalah inovasi,pelajari teknik biologi perangkat medis pemecahan masalah inovasi,Administrasi,analisis keuangan analisis data teknologi data sains teknik,valid,Tidak,23,0,1,13
python,python,"teknologi, ilmu data",Magister,ilmu komputer,Sertifikasi Pemasaran Digital,3.24,Staf Administrasi,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,python teknologi data sains komputer sains,valid,Tidak,32,0,1,2
"pembelajaran mesin, analisis data","pembelajaran mesin, analisis data","teknologi, ilmu data",SMA/Sederajat,seni,Google Data Analytics,2.48,Staf Administrasi,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,pembelajaran mesin analisis data teknologi data sains seni,valid,Tidak,32,0,2,12
ms office,ms office,pengembangan karir umum,Magister,keuangan,Sertifikasi Pemasaran Digital,2.52,Staf Administrasi,keuangan,tugas umum,"akuntansi, pelaporan keuangan, pembukuan, perhatian terhadap detail, kemampuan analitis","akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan","dasar akuntansi, dasar kemampuan analitis, dasar perhatian terhadap detail, dasar pembukuan, dasar pelaporan keuangan","pelajari akuntansi, kemampuan analitis, perhatian terhadap detail, pembukuan, pelaporan keuangan",Administrasi,ms office umum karir pengembangan keuangan,valid,Tidak,32,0,1,4
"analisis data, akuntansi","analisis data, akuntansi","teknologi, ilmu data",Magister,bisnis,Tidak Ada Sertifikasi,3.04,Operator Entri Data,bisnis,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,analisis data akuntansi teknologi data sains bisnis,valid,Tidak,23,0,1,1
"analisis data, analisis keuangan, pemasaran","analisis data, analisis keuangan, pemasaran","teknologi, ilmu data",SMA/Sederajat,seni,Sertifikasi Pemasaran Digital,3.4,Operator Entri Data,seni,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,analisis data analisis keuangan pemasaran teknologi data sains seni,valid,Tidak,23,0,2,12
"akuntansi, konseling, python","akuntansi, konseling, python","teknologi, ilmu data",SMA/Sederajat,ilmu komputer,Tidak Ada Sertifikasi,3.8,Operator Entri Data,ilmu komputer,"alat, mesin digital, non-otonom, perangkat komputasi, ikt lanjutan, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,akuntansi konseling python teknologi data sains komputer sains,valid,Tidak,23,0,2,2
"pemasaran, analisis data, analisis keuangan","pemasaran, analisis data, analisis keuangan","teknologi, ilmu data",Magister,ilmu komputer,CFA Level 1,2.72,Operator Entri Data,ilmu komputer,"konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, akuntansi, konten, tugas intelektual, pemrosesan informasi, pengolahan informasi terkodifikasi, numerasi, analitik, konten, tugas sosial, penjualan & pengaruh",tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,pemasaran analisis data analisis keuangan teknologi data sains komputer sains,valid,Tidak,23,0,1,2
konseling,konseling,pengembangan karir umum,Sarjana,perdagangan,AWS Certified,3.4,Staf Administrasi,perdagangan,tugas umum,tidak ada keahlian yang dipersyaratkan,tidak ada keahlian yang kurang,tidak ada rekomendasi kursus,pertahankan portofolio keahlian saat ini,Administrasi,konseling umum karir pengembangan perdagangan,valid,Tidak,32,0,3,8
